ID,ElementOrFlow,STRIDE,Threat,Damage,Reproducibility,Exploitability,AffectedUsers,Discoverability,DREAD,Rating,Mitigations,OWASP
T01,Customer browser to frontend,Spoofing,Attacker uses stolen session token to impersonate customer,9,8,8,8,8,8.2,Critical,"Short-lived tokens; secure cookies; MFA for risky actions; token revocation","A07 Authentication Failures"
T02,Frontend,Tampering,XSS steals tokens or changes checkout flow,9,7,7,8,8,7.8,High,"Output encoding; CSP; React safe rendering; dependency scanning","A05 Injection"
T03,Frontend,Information Disclosure,Sensitive data is stored in localStorage and read by injected scripts,8,7,7,8,7,7.4,High,"HttpOnly cookies; minimize browser storage; CSP","A04 Cryptographic Failures"
T04,Frontend to REST API,Tampering,Cart price or product ID is manipulated to reduce order total,8,9,8,7,6,7.6,High,"Calculate prices on server; validate product IDs; transaction checks","A01 Broken Access Control; A05 Injection"
T05,Frontend to REST API,Information Disclosure,CORS misconfiguration allows hostile sites to read API responses,8,7,7,8,8,7.6,High,"Strict CORS allowlist; no wildcard credentials; browser security tests","A02 Security Misconfiguration"
T06,REST API,Spoofing,Missing authentication lets anonymous users access account APIs,9,8,7,9,8,8.2,Critical,"OIDC; deny-by-default middleware; route-level auth tests","A07 Authentication Failures"
T07,REST API,Elevation of Privilege,User changes role claims or IDs to call admin endpoints,9,8,8,9,8,8.4,Critical,"Server-side authorization; signed claims; policy-as-code tests","A01 Broken Access Control"
T08,REST API,Repudiation,User denies checkout because no correlation IDs or immutable audit events exist,6,7,6,7,6,6.4,High,"Structured audit logs; request IDs; append-only log retention","A09 Security Logging and Alerting Failures"
T09,REST API,Denial of Service,Large JSON bodies or repeated checkout calls exhaust API resources,7,9,8,8,8,8.0,Critical,"Body limits; rate limits; circuit breakers; queue expensive work","A02 Security Misconfiguration; A06 Insecure Design"
T10,API to PostgreSQL,Tampering,SQL injection modifies orders or product records,10,8,8,9,9,8.8,Critical,"Parameterized queries; least-privilege DB role; input validation","A05 Injection"
T11,API to PostgreSQL,Information Disclosure,SQL injection or overbroad query exposes customer/order data,9,8,8,9,9,8.6,Critical,"Parameterized queries; row-level access checks; query allowlists","A05 Injection; A01 Broken Access Control"
T12,PostgreSQL,Information Disclosure,Unencrypted backups expose customer emails and order history,8,6,6,8,6,6.8,High,"Encrypted backups; restricted restore permissions; retention policy","A04 Cryptographic Failures"
T13,PostgreSQL,Denial of Service,Slow queries or missing indexes exhaust DB connections,7,8,6,8,7,7.2,High,"Connection pooling; query timeouts; indexes; load testing","A06 Insecure Design"
T14,API to Redis,Information Disclosure,Redis exposed to network leaks cart/session data,8,7,7,8,8,7.6,High,"Private subnet; Redis AUTH/TLS; security groups; no public endpoint","A02 Security Misconfiguration"
T15,Redis,Tampering,Cache poisoning changes session or authorization state,8,7,7,8,7,7.4,High,"Signed cache values; key namespaces; TTLs; private networking","A08 Software and Data Integrity Failures"
T16,Redis,Denial of Service,Unbounded keys or spam traffic consumes cache memory,7,9,8,8,8,8.0,Critical,"Rate limits; maxmemory policy; quotas; key expiry","A02 Security Misconfiguration"
T17,API to S3,Information Disclosure,Public receipt bucket exposes customer data,9,8,7,8,8,8.0,Critical,"Block public access; bucket policies; private VPC endpoint; access analyzer","A02 Security Misconfiguration"
